AAAASQUIGGLY BIT MANUFACTURING PLC15 O'HOCKEY PARK,CORK,IRELAND                                         
AACCFIDDLY BIT LTD                19 CAREW PARK,LIMERICK,IRELAND                                        
ABCDAQUA PRODUCTS PLC             10 NAPOLEON DRIVE,PARIS,FRANCE                                        
BBBBCHEAP WASHERS PLC             15 FITZGERALD VIEW,ARMAGH,IRELAND                                    
BCDEPLUNGER MAKERS PLC            19 O'NEILL PARK,DERRY,IRELAND                                         
CCCCPANEL MAKERS AND BEATERS PLC  5 KINGS WAY ROAD,DOWN,IRELAND                                         
CDEFSMALL PARTS PLC               15 SHORE ROAD,BALLYMENA,ANTRIM,IRELAND                                
DDDDELEMENTRY PRODUCTS PLC        18 KING JOHNS ROAD,TYRONE,IRELAND                                     
DEFGASSEMBLED PRODUCTS LTD        15 KINGS COURT,FERMANAGH,IRELAND                                      
EEEESEALS GALORE LTD              12 IRISH ROAD,FALLOWFIELD,MANCHESTER,ENGLAND                          
EFGHAUTOMATIC CONTROLS LTD        13 GARLAND STREET,BURY ST.EDMUNDS,SUFFOLK,ENGLAND                     
FGHIELECTRICAL HARNESSES PLC      25 CHESTNUT  WALK,SANDYFORD INDUSTRIAL ESTATE,SANDYFORD,DUBLIN,IRELAND
GGGGHOCKEYS HOSES LTD             25 IRISH ROAD,IRISHTOWN,OSLO,NORWAY                                   
HHHHFANCY METALWORK PLC           THE OLD ABBEY,HILL VIEW ROAD,LISBON,PORTUGAL                          
ZZZAHEATED MOMENTS LTD            26 PORTLAND SQUARE,FREE COPENHAGAN,COPENHAGAN,DENMARK                 
