10001AAAALITTLE SQUIGGLY BIT           0000500500002000015000050Y
10002ZZZA5KW ELEMENT WITH REVERSE NUT  0000060070000150339501200N
10003BBBB8MM WASHER                    0000901000014500000100002N
10005AACCSMALL FIDDLY BIT WITH BUMPS   0000500490002000015000050N
10006CCCCZX10 75CM SIDE PANEL          0000020020000100502509000N
10007DDDDLONG 2.5KW ELEMENT            0000010030000050237500980N
10008EEEE50 CM NEOPRENE SEAL           0000100110000400105000150N
10009GGGG1.5 METRE HOSE WITH CLIPS     0000150200001000055000250N
10010HHHHDRIP TRAY                     0000150200000500102500500N
10011ABCDWATER INLET SOLENOID          0000030100000500150000255N
10012BCDEPLUNGER :- INLET VALVE        0000060100000250004500015N
10013CDEFDIAPHRAGM :- INLET VALVE      0000060100000250005500005N
10014DEFGINLET VALVE ASSEMBLED         0000150200001500255000750N
10015EFGHCONTROL BOX ASSEMBLED         0000150200001500500000525N
10016FGHIWIRING HARNESS                0000150200002000005600190N
10017AAAAIMPORTANT PART                0000050060000100012500250N
10018AACCWATER INLET DINGUS            0000050060000200022500225N
